Country,Region,Date,AQI,Temperature,RelativeHumidity,WindSpeed
Malaysia,AlorSetar,2014-01-01,34.0,26.11,76.95,21.52
Malaysia,AlorSetar,2014-01-02,30.0,26.48,77.45,20.62
Malaysia,AlorSetar,2014-01-03,28.0,26.4,78.64,17.37
Malaysia,AlorSetar,2014-01-04,32.0,26.38,79.88,15.41
Malaysia,AlorSetar,2014-01-05,37.0,26.32,77.9,14.9
Malaysia,AlorSetar,2014-01-06,31.0,26.16,81.93,11.99
Malaysia,AlorSetar,2014-01-07,30.0,26.37,75.62,15.98
Malaysia,AlorSetar,2014-01-08,41.0,26.29,74.69,19.16
Malaysia,AlorSetar,2014-01-09,40.0,25.68,79.88,21.09
Malaysia,AlorSetar,2014-01-10,22.0,25.33,78.87,19.84
Malaysia,AlorSetar,2014-01-11,19.0,25.15,81.03,23.09
Malaysia,AlorSetar,2014-01-12,24.0,25.42,79.69,23.09
Malaysia,AlorSetar,2014-01-13,25.0,26.43,72.84,17.88
Malaysia,AlorSetar,2014-01-14,30.0,25.93,71.85,17.38
Malaysia,AlorSetar,2014-01-15,35.0,25.7,70.45,18.97
Malaysia,AlorSetar,2014-01-16,39.0,25.32,69.99,23.11
Malaysia,AlorSetar,2014-01-17,40.0,25.38,64.36,23.85
Malaysia,AlorSetar,2014-01-18,35.0,25.58,63.56,24.97
Malaysia,AlorSetar,2014-01-19,31.0,25.59,63.77,23.03
Malaysia,AlorSetar,2014-01-20,36.0,25.4,63.08,23.18
Malaysia,AlorSetar,2014-01-21,40.0,25.38,62.93,21.13
Malaysia,AlorSetar,2014-01-22,41.0,25.77,62.84,22.22
Malaysia,AlorSetar,2014-01-23,44.0,25.29,64.45,21.67
Malaysia,AlorSetar,2014-01-24,50.0,25.9,62.32,19.77
Malaysia,AlorSetar,2014-01-25,48.0,26.9,62.21,16.09
Malaysia,AlorSetar,2014-01-26,47.0,26.46,59.04,22.69
Malaysia,AlorSetar,2014-01-27,41.0,26.81,59.25,23.19
